Name,Rating,Number of Reviews,Type of Cuisine,Budget Range,Suitable Occasions,Average Waiting Time (min),Budget Range Dishes,Location
Napoli Ristorante,4.3,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 11.5, 'Lasagna': 8.0, 'Tiramisu': 9.5}","40.7128, -74.0060"
Spicy Curry,4.3,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Vindaloo': 18.0, 'Aloo Gobi': 17.5, 'Mango Lassi': 15.0}","28.6139, 77.2090"
Morning Munchies,4.4,129,American,$10 - $20,"Casual, Breakfast",35,"{'Breakfast Burritos': 8.5, 'French Toast': 5.0, 'Coffee': 7.5}","34.0522, -118.2437"
Pasta Bella,4.1,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Penne Arrabbiata': 19.5, 'Chicken Parmesan': 15.0, 'Tiramisu': 15.0}","41.9028, 12.4964"
Sushi Haven,3.2,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 15.5, 'Sashimi': 10.0, 'Miso Soup': 15.0}","34.0522, -118.2437"
Spice Haven,3.6,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 15.0, 'Aloo Paratha': 15.0, 'Mango Lassi': 13.5}","12.9716, 77.5946"
Le Petit Patisserie,3.4,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 20.0, 'Pain au Chocolat': 12.0, 'Eclairs': 15.5}","48.8566, 2.3522"
Tacos y M?s,3.5,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.5, 'Quesadillas': 15.0, 'Margaritas': 7.5}","19.4326, -99.1332"
Global Fusion,4,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Tacos': 15.5, 'Kimchi Fried Rice': 18.0, 'Fusion Cocktails': 16.0}","35.6895, 139.6917"
Buona Sera,4.2,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Osso Buco': 20.5, 'Lobster Ravioli': 19.0, 'Tiramisu': 16.0}","41.9028, 12.4964"
Greek Isles,3.7,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Souvlaki': 11.0, 'Greek Salad': 14.0, 'Spanakopita': 13.0}","37.9838, 23.7275"
Ramen Universe,3.9,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 12.5, 'Gyoza': 11.5, 'Matcha Parfait': 19.0}","35.6895, 139.6917"
Amore Trattoria,4,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 17.5, 'Risotto': 20.0, 'Tiramisu': 21.0}","41.9028, 12.4964"
Beijing Delights,4,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Sweet and Sour Chicken': 8.0, 'Dumplings': 5.0, 'Fried Rice': 6.0}","39.9042, 116.4074"
Ocean's Bounty,4.4,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Grilled Salmon': 15.0, 'Crab Legs': 15.0, 'Shrimp Scampi': 18.0}","34.0522, -118.2437"
Rise and Dine,3.3,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 11.5, 'Breakfast Burritos': 13.0, 'Omelettes': 9.0}","40.7128, -74.0060"
Tokyo Nights,3.6,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 19.0, 'Tempura': 13.5, 'Matcha Ice Cream': 10.0}","35.6895, 139.6917"
Belle Cuisine,4.8,498,French,$30 - $50,"Celebrations, Romantic Dinners",55,"{'Escargot': 23.0, 'Duck Confit': 15.0, 'Creme Brulee': 21.5}","48.8566, 2.3522"
Napoli Trattoria,4.7,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 12.0, 'Lasagna': 10.5, 'Cannoli': 7.5}","40.7128, -74.0060"
Curry Delights,4,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Curry': 11.0, 'Naan': 19.0, 'Mango Lassi': 18.5}","28.6139, 77.2090"
Sunrise Cafe,4.4,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 5.0, 'Breakfast Sandwiches': 7.5, 'Coffee': 9.5}","34.0522, -118.2437"
Pizzeria Paradiso,3.8,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 20.0, 'Calzone': 17.5, 'Cannoli': 19.0}","41.9028, 12.4964"
Sushi Oasis,4.4,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 15.0, 'Sashimi': 13.0, 'Miso Soup': 15.5}","34.0522, -118.2437"
Spice Delicacies,3.9,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Biryani': 14.5, 'Paneer Tikka': 15.0, 'Masala Chai': 8.0}","12.9716, 77.5946"
Petite Boulangerie,3.9,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 11.0, 'Pain aux Raisins': 14.5, 'Quiche': 18.5}","48.8566, 2.3522"
Tasty Tacos,3.7,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.0, 'Burritos': 9.0, 'Margaritas': 8.5}","19.4326, -99.1332"
Fusion Frenzy,4,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Burritos': 14.5, 'Kimchi Fried Rice': 13.5, 'Craft Cocktails': 13.5}","35.6895, 139.6917"
La Dolce Vita,3.2,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Linguine Carbonara': 21.0, 'Tiramisu': 23.0, 'Espresso': 17.5}","41.9028, 12.4964"
Greek Euphoria,3.3,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 9.0, 'Greek Salad': 14.5, 'Baklava': 12.0}","37.9838, 23.7275"
Ramen Haven,3.5,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 10.5, 'Gyoza': 10.5, 'Matcha Ice Cream': 13.5}","35.6895, 139.6917"
Dolce Vita,4.1,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 16.5, 'Filet Mignon': 22.5, 'Tiramisu': 16.5}","41.9028, 12.4964"
Beijing Bistro,4,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Orange Chicken': 8.0, 'Spring Rolls': 6.5, 'Fried Rice': 5.5}","39.9042, 116.4074"
Seafood Delight,4,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Crab Legs': 16.0, 'Shrimp Scampi': 19.5, 'Clam Chowder': 16.0}","34.0522, -118.2437"
Morning Sunshine,4.8,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 8.5, 'Omelettes': 13.5, 'Coffee': 9.0}","40.7128, -74.0060"
Tokyo Serenity,4,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 11.5, 'Teriyaki': 10.0, 'Green Tea Ice Cream': 16.5}","35.6895, 139.6917"
Ch?teau Cuisine,4.5,498,French,$30 - $50,"Celebrations, Romantic Dinners",60,"{'Escargot': 18.0, 'Beef Bourguignon': 19.0, 'Creme Brulee': 24.0}","48.8566, 2.3522"
Napoli Ristorante,3.8,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 11.5, 'Lasagna': 7.5, 'Tiramisu': 9.0}","40.7128, -74.0060"
Curry Fusion,3,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Tikka Masala': 13.5, 'Vegetable Biryani': 14.5}","28.6139, 77.2090"
Morning Delights,4.1,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 8.5, 'Breakfast Burritos': 10.0, 'Coffee': 10.0}","34.0522, -118.2437"
Pizzeria Bella,4.2,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 16.5, 'Pasta Alfredo': 15.5, 'Cannoli': 20.0}","41.9028, 12.4964"
Sushi Serenity,3.5,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 20.0, 'Sashimi': 20.0, 'Miso Soup': 11.5}","34.0522, -118.2437"
Spice Delights,3.5,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 11.0, 'Naan': 14.0, 'Mango Lassi': 13.0}","12.9716, 77.5946"
Le Petite Patisserie,4.2,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 13.0, 'Pain au Chocolat': 16.0, 'Quiche': 14.0}","48.8566, 2.3522"
Tacos y M?s,3.9,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 10.0, 'Quesadillas': 8.0, 'Margaritas': 13.5}","19.4326, -99.1332"
Fusion Fusion,4.2,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Tacos': 16.0, 'Kimchi Fried Rice': 15.5, 'Cocktails': 15.5}","35.6895, 139.6917"
La Dolce Vita,3.9,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Linguine Carbonara': 23.5, 'Tiramisu': 15.5, 'Espresso': 24.5}","41.9028, 12.4964"
Greek Euphoria,3.9,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 12.0, 'Greek Salad': 8.0, 'Baklava': 8.5}","37.9838, 23.7275"
Ramen Haven,3.5,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 13.5, 'Gyoza': 13.0, 'Matcha Ice Cream': 12.0}","35.6895, 139.6917"
Dolce Vita,3.9,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 23.0, 'Filet Mignon': 16.5, 'Tiramisu': 24.5}","41.9028, 12.4964"
Beijing Bistro,4.1,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Orange Chicken': 5.5, 'Spring Rolls': 7.5, 'Fried Rice': 6.5}","39.9042, 116.4074"
Seafood Delight,4.6,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Crab Legs': 15.0, 'Shrimp Scampi': 15.5, 'Clam Chowder': 18.5}","34.0522, -118.2437"
Morning Sunshine,3.9,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 14.5, 'Omelettes': 15.0, 'Coffee': 12.5}","40.7128, -74.0060"
Tokyo Serenity,3,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 10.5, 'Teriyaki': 16.5, 'Green Tea Ice Cream': 10.0}","35.6895, 139.6917"
Ch?teau Cuisine,4,498,French,$30 - $50,"Celebrations, Romantic Dinners",60,"{'Escargot': 17.5, 'Beef Bourguignon': 20.0, 'Creme Brulee': 18.5}","48.8566, 2.3522"
Napoli Ristorante,4.2,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 12.5, 'Lasagna': 9.0, 'Cannoli': 10.5}","40.7128, -74.0060"
Curry Fusion,4.6,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Tikka Masala': 20.0, 'Vegetable Biryani': 11.0}","28.6139, 77.2090"
Morning Delights,3.8,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 7.0, 'Breakfast Burritos': 8.5, 'Coffee': 6.5}","34.0522, -118.2437"
Pizzeria Bella,4.2,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 19.0, 'Pasta Alfredo': 13.0, 'Cannoli': 17.0}","41.9028, 12.4964"
Sushi Serenity,4,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 19.5, 'Sashimi': 13.5, 'Miso Soup': 10.0}","34.0522, -118.2437"
Spice Delights,3.7,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 10.0, 'Naan': 9.0, 'Mango Lassi': 12.0}","12.9716, 77.5946"
Le Petite Patisserie,4.3,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 13.5, 'Pain au Chocolat': 17.5, 'Quiche': 16.0}","48.8566, 2.3522"
Tacos y M?s,4.1,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 12.5, 'Quesadillas': 8.5, 'Margaritas': 9.0}","19.4326, -99.1332"
Fusion Fusion,3.2,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Tacos': 18.5, 'Kimchi Fried Rice': 17.0, 'Cocktails': 19.5}","35.6895, 139.6917"
La Dolce Vita,3.6,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Linguine Carbonara': 24.5, 'Tiramisu': 24.0, 'Espresso': 17.5}","41.9028, 12.4964"
Greek Euphoria,3.7,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 8.5, 'Greek Salad': 12.5, 'Baklava': 13.5}","37.9838, 23.7275"
Ramen Haven,3.4,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 13.0, 'Gyoza': 16.5, 'Matcha Ice Cream': 13.5}","35.6895, 139.6917"
Dolce Vita,4.2,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 17.5, 'Filet Mignon': 22.5, 'Tiramisu': 23.0}","41.9028, 12.4964"
Beijing Bistro,4,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Orange Chicken': 5.5, 'Spring Rolls': 10.0, 'Fried Rice': 9.0}","39.9042, 116.4074"
Seafood Delight,3.6,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Crab Legs': 13.5, 'Shrimp Scampi': 15.0, 'Clam Chowder': 15.5}","34.0522, -118.2437"
Morning Sunshine,3.1,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 8.0, 'Omelettes': 13.5, 'Coffee': 15.0}","40.7128, -74.0060"
Tokyo Serenity,3.6,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 14.5, 'Teriyaki': 15.0, 'Green Tea Ice Cream': 19.0}","35.6895, 139.6917"
Ch?teau Cuisine,3.9,498,French,$30 - $50,"Celebrations, Romantic Dinners",60,"{'Escargot': 19.0, 'Beef Bourguignon': 15.0, 'Creme Brulee': 24.0}","48.8566, 2.3522"
Napoli Ristorante,4.4,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 8.5, 'Lasagna': 8.5, 'Cannoli': 11.5}","40.7128, -74.0060"
Curry Fusion,3.2,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Tikka Masala': 11.5, 'Vegetable Biryani': 17.0}","28.6139, 77.2090"
Morning Delights,4.1,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 10.0, 'Breakfast Burritos': 9.0, 'Coffee': 6.0}","34.0522, -118.2437"
Pizzeria Bella,3.8,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 13.0, 'Pasta Alfredo': 15.5, 'Cannoli': 17.0}","41.9028, 12.4964"
Sushi Serenity,3.9,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 14.5, 'Sashimi': 10.5, 'Miso Soup': 13.0}","34.0522, -118.2437"
Spice Delights,3,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 12.0, 'Naan': 7.5, 'Mango Lassi': 10.5}","12.9716, 77.5946"
Le Petite Patisserie,3,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 14.5, 'Pain au Chocolat': 14.5, 'Quiche': 17.5}","48.8566, 2.3522"
Tacos y M?s,3.6,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.5, 'Quesadillas': 12.5, 'Margaritas': 13.5}","19.4326, -99.1332"
Fusion Fusion,4.4,298,Fusion,$25 - $40,"Date Night, Special Occasions",50,"{'Sushi Tacos': 12.5, 'Kimchi Fried Rice': 14.0, 'Cocktails': 17.5}","35.6895, 139.6917"
La Dolce Vita,4.9,572,Italian,$30 - $50,"Romantic Dinners, Fine Dining",55,"{'Linguine Carbonara': 22.0, 'Tiramisu': 20.0, 'Espresso': 19.0}","41.9028, 12.4964"
Greek Euphoria,3.2,208,Greek,$15 - $30,"Group Gatherings, Lunch",40,"{'Gyro Platter': 7.5, 'Greek Salad': 9.5, 'Baklava': 12.0}","37.9838, 23.7275"
Ramen Haven,4.5,412,Japanese,$20 - $40,"Casual, Dinner",50,"{'Ramen Bowls': 13.0, 'Gyoza': 15.5, 'Matcha Ice Cream': 20.0}","35.6895, 139.6917"
Dolce Vita,3.3,498,Italian,$30 - $50,"Date Night, Special Occasions",60,"{'Caprese Salad': 19.0, 'Filet Mignon': 21.0, 'Tiramisu': 20.5}","41.9028, 12.4964"
Beijing Bistro,5,187,Chinese,$10 - $20,"Casual, Lunch",40,"{'Orange Chicken': 6.5, 'Spring Rolls': 9.5, 'Fried Rice': 6.0}","39.9042, 116.4074"
Seafood Delight,4.8,315,Seafood,$25 - $40,"Family, Friends' Outing",45,"{'Crab Legs': 20.0, 'Shrimp Scampi': 12.5, 'Clam Chowder': 13.0}","34.0522, -118.2437"
Morning Sunshine,3,269,American,$15 - $30,"Breakfast, Brunch",35,"{'Pancakes': 14.0, 'Omelettes': 12.0, 'Coffee': 11.5}","40.7128, -74.0060"
Tokyo Serenity,3.8,572,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sashimi Platter': 19.0, 'Teriyaki': 16.0, 'Green Tea Ice Cream': 16.0}","35.6895, 139.6917"
Ch?teau Cuisine,4.1,498,French,$30 - $50,"Celebrations, Romantic Dinners",60,"{'Escargot': 24.5, 'Beef Bourguignon': 25.0, 'Creme Brulee': 15.5}","48.8566, 2.3522"
Napoli Ristorante,4.4,235,Italian,$15 - $25,"Family, Group Gatherings",40,"{'Margherita Pizza': 10.0, 'Lasagna': 10.5, 'Cannoli': 9.5}","40.7128, -74.0060"
Curry Fusion,3.9,411,Indian,$20 - $40,"Dinner, Takeout",50,"{'Chicken Tikka Masala': 16.5, 'Vegetable Biryani': 11.5}","28.6139, 77.2090"
Morning Delights,3.2,129,American,$10 - $20,"Casual, Breakfast",35,"{'Waffles': 9.5, 'Breakfast Burritos': 5.5, 'Coffee': 6.5}","34.0522, -118.2437"
Pizzeria Bella,4.6,498,Italian,$25 - $40,"Family, Friends' Outing",45,"{'Margherita Pizza': 15.5, 'Pasta Alfredo': 19.5, 'Cannoli': 13.5}","41.9028, 12.4964"
Sushi Serenity,3.9,305,Japanese,$20 - $40,"Date Night, Fine Dining",50,"{'Sushi Rolls': 14.0, 'Sashimi': 10.5, 'Miso Soup': 17.5}","34.0522, -118.2437"
Spice Delights,3.6,249,Indian,$15 - $30,"Dinner, Takeout",45,"{'Chicken Curry': 12.0, 'Naan': 11.5, 'Mango Lassi': 14.0}","12.9716, 77.5946"
Le Petite Patisserie,3.8,382,French,$20 - $40,"Breakfast, Brunch",40,"{'Croissant': 12.0, 'Pain au Chocolat': 19.5, 'Quiche': 10.0}","48.8566, 2.3522"
Tacos y M?s,4.3,219,Mexican,$15 - $30,"Casual, Friends' Outing",35,"{'Tacos': 9.5, 'Quesadillas': 10.0, 'Margaritas': 13.0}","19.4326, -99.1332"
